"","Type","Chloride_uM","Magnesium_uM","year","Site","Date","Location"
"1","well",5.230869038,598.5376,NA,NA,NA,"1"
"2","well",7.502891152,534.589,NA,NA,NA,"9"
"3","well",3.920683722,578.224,NA,NA,NA,"10"
"4","well",0.930809805,412.944,NA,NA,NA,"16"
"5","soil_water",37.9464033850494,279.8249,2019,"EM",2019-06-13,"MOOS"
"6","soil_water",48.0620592383639,313.2113,2019,"EM",2019-06-13,"MOOS"
"7","soil_water",41.0944992947814,223.0671,2019,"EM",2019-06-14,"FRCH"
"8","soil_water",46.1946403385049,253.2831,2019,"EM",2019-06-14,"FRCH"
"9","soil_water",49.9266572637518,201.4086,2019,"EM",2019-06-14,"FRCH"
"10","ppt/snow",3.07757404795487,1.96783333333333,2021,"EM",2021-03-04,"VAUL"
"11","ppt/snow",1.64551010813352,0.3898,2021,"EM",2021-03-04,"POKE"
"12","ppt/snow",7.1114245416079,0.6916,2021,"EM",2021-05-16,"Goldpointe"
"13","ppt/snow",2.50775740479549,1.0156,2021,"EM",2021-06-06,"Goldpointe"
"14","ppt/snow",5.0098730606488,1.7433,2021,"EM",2021-06-15,"Goldpointe"
"15","upwelling",26.1071932299013,2115.8215,2021,"EM",2021-06-29,"VAUL"
"16","upwelling",26.1071932299013,2115.8215,2021,"EM",2021-06-29,"VAUL"
"17","upwelling",26.1466854724965,3357.9995,2021,"EM",2021-06-29,"VAUL"
"18","upwelling",24.1043723554302,2443.235,2021,"EM",2021-06-29,"VAUL"
"19","upwelling",23.4358251057828,3066.909,2021,"EM",2021-06-29,"VAUL"
"20","ppt/snow",3.6163610719323,0.1028,2021,"EM",2021-07-24,"Goldpointe"
"21","ppt/snow",7.11001410437235,0.7404,2021,"EM",2021-07-28,"Goldpointe"
"22","ppt/snow",2.17489421720733,0.1028,2021,"EM",2021-08-17,"Goldpointe"
"23","upwelling",42.0310296191819,2267.601,2021,"EM",2021-09-27,"VAUL"
"24","ppt/snow",8.97602256699577,19.278,2022,"EM",2022-03-18,"STRT"
"25","ppt/snow",3.88434414668547,1.028,2022,"EM",2022-03-18,"STRT"
"26","well",8.93135872120357,648.960314705882,NA,NA,NA,NA
